Country Name,Country Code,Time,Time Code,GINI,GINIt-1,GINIt-2,Credit_GDP,GDP_growth,Inflation,FDI_GDP
France,FRA,2006,YR2006,29.7,29.8,30.6,126.667771,2.3749469,2.161198098,3.395496784
France,FRA,2007,YR2007,32.4,29.7,29.8,137.2772361,2.361498873,2.563906343,3.145979067
France,FRA,2008,YR2008,33,32.4,29.7,142.9900043,0.195294766,2.379119109,2.325978916
France,FRA,2009,YR2009,..,33,32.4,140.3819049,-2.941341055,0.096624424,0.682307836
France,FRA,2010,YR2010,33.7,..,33,143.6183782,1.965657375,1.079825499,1.469675805
France,FRA,2011,YR2011,33.3,33.7,..,145.8143219,2.079229175,0.943611724,1.54371916
France,FRA,2012,YR2012,33,33.3,33.7,147.80637,0.182693034,1.157648915,1.228845226
France,FRA,2013,YR2013,32.5,33,33.3,143.9449882,0.576241547,0.776636468,1.124768867
France,FRA,2014,YR2014,32.3,32.5,33,146.9209246,0.947586471,0.576458624,0.20389463
Germany,DEU,2006,YR2006,31.8,..,..,127.3617048,3.700159572,0.304045355,2.912349683
Germany,DEU,2007,YR2007,31.9,31.8,..,120.4801391,3.260535297,1.697387271,1.478073761
Germany,DEU,2008,YR2008,31.1,31.9,31.8,122.2828234,1.082315404,0.838791683,0.824174902
Germany,DEU,2009,YR2009,31.2,31.1,31.9,128.4509893,-5.618860435,1.7569942,1.657945651
Germany,DEU,2010,YR2010,30.7,31.2,31.1,164.7975628,4.079933305,0.757704408,2.518329046
Germany,DEU,2011,YR2011,30,30.7,31.2,161.9667643,3.660000155,1.070476908,2.594160673
Germany,DEU,2012,YR2012,..,30,30.7,156.9249454,0.491992829,1.540294079,1.847194475
Germany,DEU,2013,YR2013,31.4,..,30,136.8863225,0.489584482,1.965390517,1.796331306
Germany,DEU,2014,YR2014,..,31.4,..,139.7539617,1.92969041,1.794387609,0.429785534
Italy,ITA,2006,YR2006,34,33.8,34.3,108.6178813,2.006586655,1.898849869,2.932354168
Italy,ITA,2007,YR2007,32.9,34,33.8,124.8199187,1.473868547,2.434610726,2.995266538
Italy,ITA,2008,YR2008,33.6,32.9,34,137.6132647,-1.050402835,2.480577356,-0.397381532
Italy,ITA,2009,YR2009,33.5,33.6,32.9,146.2889405,-5.48205504,1.957826338,0.758499235
Italy,ITA,2010,YR2010,34.3,33.5,33.6,160.4578207,1.686523403,0.319446203,0.467633055
Italy,ITA,2011,YR2011,34.5,34.3,33.5,164.1204818,0.576623022,1.468390873,1.513143765
Italy,ITA,2012,YR2012,34.9,34.5,34.3,177.3916251,-2.819013779,1.38015264,0.001679455
Italy,ITA,2013,YR2013,34.9,34.9,34.5,172.7144805,-1.728160802,1.211939756,0.916716928
Italy,ITA,2014,YR2014,34.7,34.9,34.9,172.1090262,0.113673238,0.958906794,0.79136233
Netherlands,NLD,2006,YR2006,30,29,29.8,165.7405233,3.518636961,2.550428742,51.62545892
Netherlands,NLD,2007,YR2007,29.6,30,29,184.2075398,3.698473106,2.105441908,87.44259299
Netherlands,NLD,2008,YR2008,29.3,29.6,30,182.2923104,1.699060778,2.479236822,20.84878253
Netherlands,NLD,2009,YR2009,27.9,29.3,29.6,207.2319202,-3.767583537,0.399621508,11.18168466
Netherlands,NLD,2010,YR2010,27.9,27.9,29.3,218.2675864,1.402662177,0.847969184,13.836826
Netherlands,NLD,2011,YR2011,27.8,27.9,27.9,223.9798618,1.663626344,0.141896333,37.12847622
Netherlands,NLD,2012,YR2012,27.6,27.8,27.9,234.1734815,-1.057037404,1.419671674,28.92283586
Netherlands,NLD,2013,YR2013,28.1,27.6,27.8,209.3489371,-0.1903392,1.368458976,37.9244573
