Country Name	Country Code	Time	Time Code	Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS]	Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]	GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]	Income share held by lowest 20% [SI.DST.FRST.20]	Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]	Income share held by second 20% [SI.DST.02ND.20]	Income share held by third 20% [SI.DST.03RD.20]	Income share held by highest 20% [SI.DST.05TH.20]	Income share held by fourth 20% [SI.DST.04TH.20]	GINI index (World Bank estimate) [SI.POV.GINI]
France	FRA	2005	YR2005	105.696.515.419.492	851.791.597.873.155	160.771.381.415.587	8.6	193.951.394.791.132	13.2	17.2	38.5	22.5	29.8
France	FRA	2006	YR2006	12.666.777.102.274	789.457.049.198.979	237.494.689.958.575	8.4	216.119.809.814.923	13.2	17.3	38.3	22.7	29.7
France	FRA	2007	YR2007	137.277.236.119.177	837.809.620.912.732	236.149.887.323.958	8.1	256.390.634.269.327	12.7	16.5	40.9	21.9	32.4
France	FRA	2008	YR2008	142.990.004.258.837	679.991.946.632.055	0.195294765594184	7.9	237.911.910.882.363	12.6	16.5	41.2	21.9	33
France	FRA	2009	YR2009	140.381.904.851.788	183.801.957.927.671	-294.134.105.462.597	..	0.0966244242143262	..	..	..	..	..
France	FRA	2010	YR2010	143.618.378.158.211	388.999.246.377.217	196.565.737.478.667	7.7	107.982.549.920.914	12.4	16.3	41.8	21.8	33.7
France	FRA	2011	YR2011	145.814.321.871.097	441.917.418.397.551	207.922.917.455.807	7.8	0.943611724118327	12.5	16.4	41.4	21.9	33.3
France	FRA	2012	YR2012	147.806.370.029.838	329.504.538.278.547	0.18269303354748	7.9	115.764.891.531.541	12.6	16.5	41.2	21.8	33
France	FRA	2013	YR2013	14.394.498.821.892	31.589.259.642.153	0.576241546834495	8	0.776636467932931	12.7	16.6	40.9	21.8	32.5
France	FRA	2014	YR2014	14.692.092.461.896	580.958.055.510.443	0.947586471279067	8	0.576458624297544	12.7	16.8	40.5	22	32.3
Germany	DEU	2005	YR2005	132.598.376.259.312	598.557.598.742.003	0.70671394810023	..	0.620694358469208	..	..	..	..	..
Germany	DEU	2006	YR2006	127.361.704.794.735	874.417.372.955.494	370.015.957.205.484	8.1	0.304045355331681	12.8	16.8	40	22.3	31.8
Germany	DEU	2007	YR2007	120.480.139.103.862	508.450.495.188.358	326.053.529.682.157	8.1	169.738.727.073.032	12.8	16.7	40.2	22.2	31.9
Germany	DEU	2008	YR2008	122.282.823.393.475	309.260.555.791.302	108.231.540.391.905	8.2	0.838791683041933	12.9	16.9	39.5	22.5	31.1
Germany	DEU	2009	YR2009	128.450.989.318.289	566.686.652.576.315	-561.886.043.465.857	8.3	175.699.419.961.073	12.9	16.8	39.8	22.2	31.2
Germany	DEU	2010	YR2010	164.797.562.847.376	86.053.684.912.306	407.993.330.487.069	8.3	0.75770440762841	12.9	17.1	39.2	22.5	30.7
Germany	DEU	2011	YR2011	161.966.764.331.587	974.807.310.198.159	366.000.015.503.516	8.4	107.047.690.808.513	13.1	17.2	38.6	22.6	30
Germany	DEU	2012	YR2012	156.924.945.436.616	65.464.274.951.493	0.491992829138056	..	154.029.407.928.131	..	..	..	..	..
Germany	DEU	2013	YR2013	136.886.322.463.768	674.075.748.068.454	0.489584482494635	8.1	196.539.051.660.558	12.9	16.9	39.8	22.4	31.4
Germany	DEU	2014	YR2014	139.753.961.677.357	167.212.656.072.783	192.969.040.980.758	..	179.438.760.861.592	..	..	..	..	..
Italy	ITA	2005	YR2005	104.719.695.004.214	367.777.868.385.297	0.949666257648659	6.8	188.823.344.925.679	12.4	17.1	40.7	23	33.8
Italy	ITA	2006	YR2006	108.617.881.327.506	56.964.903.121.093	200.658.665.474.469	6.8	189.884.986.870.193	12.4	17	41	22.9	34
Italy	ITA	2007	YR2007	124.819.918.700.298	659.873.207.355.399	147.386.854.661.877	7.1	243.461.072.609.992	12.6	17.2	40.1	23	32.9
Italy	ITA	2008	YR2008	137.613.264.656.673	-950.031.617.295.794	-105.040.283.480.383	6.9	248.057.735.551.339	12.4	17.1	40.7	22.9	33.6
Italy	ITA	2009	YR2009	146.288.940.473.017	16.574.423.267.733	-548.205.504.014.744	6.9	19.578.263.383.146	12.5	17.1	40.5	23	33.5
Italy	ITA	2010	YR2010	160.457.820.730.196	993.747.479.702.774	168.652.340.308.921	6.5	0.319446202544739	12.5	17.1	41	22.9	34.3
Italy	ITA	2011	YR2011	164.120.481.752.594	344.435.765.998.205	0.576623022104201	6.5	146.839.087.315.296	12.4	17	41.2	22.8	34.5
Italy	ITA	2012	YR2012	177.391.625.058.499	348.121.275.551.014	-281.901.377.925.493	6.4	138.015.264.018.139	12.3	16.9	41.6	22.8	34.9
Italy	ITA	2013	YR2013	172.714.480.520.399	195.305.745.905.205	-172.816.080.249.231	6.2	121.193.975.649.373	12.3	17	41.3	23.1	34.9
Italy	ITA	2014	YR2014	172.109.026.165.056	170.280.033.716.525	0.113673237878274	6.2	0.958906794258823	12.3	17.2	41	23.3	34.7
Netherlands	NLD	2005	YR2005	166.212.434.179.055	209.981.017.489.959	216.036.600.167.007	8.7	193.383.377.250.167	13.5	17.3	38	22.5	29
Netherlands	NLD	2006	YR2006	165.740.523.331.699	375.135.934.195.318	351.863.696.135.297	8.7	255.042.874.169.422	13.3	17	39	22	30
Netherlands	NLD	2007	YR2007	184.207.539.786.068	734.010.312.477.362	369.847.310.615.528	8.8	210.544.190.827.913	13.4	17.1	38.6	22.1	29.6
Netherlands	NLD	2008	YR2008	182.292.310.412.211	195.192.183.842.959	169.906.077.813.596	8.6	247.923.682.240.365	13.5	17.3	38.1	22.4	29.3
Netherlands	NLD	2009	YR2009	207.231.920.199.501	959.313.357.544.848	-376.758.353.675.982	8.9	0.399621507523307	13.8	17.6	37	22.7	27.9
Netherlands	NLD	2010	YR2010	218.267.586.364.155	115.729.820.336.761	140.266.217.721.738	8.9	0.847969184182389	13.8	17.7	37	22.6	27.9
Netherlands	NLD	2011	YR2011	223.979.861.793.828	331.838.461.860.777	16.636.263.443.925	9.1	0.14189633312462	13.8	17.6	37	22.5	27.8
Netherlands	NLD	2012	YR2012	234.173.481.471.378	239.754.925.928.956	-105.703.740.393.571	9.1	141.967.167.414.714	13.9	17.6	37	22.4	27.6
Netherlands	NLD	2013	YR2013	209.348.937.108.961	328.683.686.654.696	-0.190339199696552	8.9	136.845.897.639.715	13.8	17.5	37.2	22.5	28.1
