Country,Code,Time,GINI,GINIt-1,GINIt-2,Credit_GDP,FDI_GDP,GDP_growth,Inflation,UMP
France,FRA,2006,29.7,29.8,30.6,126.667771,3.395496784,2.3749469,2.161198098,0
France,FRA,2007,32.4,29.7,29.8,137.2772361,3.145979067,2.361498873,2.563906343,0
France,FRA,2008,33.0,32.4,29.7,142.9900043,2.325978916,0.195294766,2.379119109,0
France,FRA,2009,..,33.0,32.4,140.3819049,0.682307836,-2.941341055,0.096624424,1
France,FRA,2010,33.7,..,33.0,143.6183782,1.469675805,1.965657375,1.079825499,1
France,FRA,2011,33.3,33.7,..,145.8143219,1.54371916,2.079229175,0.943611724,1
France,FRA,2012,33.0,33.3,33.7,147.80637,1.228845226,0.182693034,1.157648915,1
France,FRA,2013,32.5,33.0,33.3,143.9449882,1.124768867,0.576241547,0.776636468,1
France,FRA,2014,32.3,32.5,33.0,146.9209246,0.20389463,0.947586471,0.576458624,1
France,FRA,2015,29.5,32.3,32.5,147.6959024,1.804898041,1.067461648,1.09231639,1
Germany,DEU,2006,31.8,..,..,127.3617048,2.912349683,3.700159572,0.304045355,0
Germany,DEU,2007,31.9,31.8,..,120.4801391,1.478073761,3.260535297,1.697387271,0
Germany,DEU,2008,31.1,31.9,31.8,122.2828234,0.824174902,1.082315404,0.838791683,0
Germany,DEU,2009,31.2,31.1,31.9,128.4509893,1.657945651,-5.618860435,1.7569942,1
Germany,DEU,2010,30.7,31.2,31.1,164.7975628,2.518329046,4.079933305,0.757704408,1
Germany,DEU,2011,30.0,30.7,31.2,161.9667643,2.594160673,3.660000155,1.070476908,1
Germany,DEU,2012,..,30.0,30.7,156.9249454,1.847194475,0.491992829,1.540294079,1
Germany,DEU,2013,31.4,..,30.0,136.8863225,1.796331306,0.489584482,1.965390517,1
Germany,DEU,2014,..,31.4,..,139.7539617,0.429785534,1.92969041,1.794387609,1
Germany,DEU,2015,..,..,31.4,134.3431078,1.55755243,1.743205394,2.01304621,1
