Country,Year,GINI,GINIt-1,GINIt-2,Credit_GDP,FDI_GDP,GDP_growth,Inflation,List_countries
France,2005,29.8,NA,NA,105.6965154,3.865316747,1.607713814,1.939513948,France
France,2006,29.7,29.8,NA,126.667771,3.395496784,2.3749469,2.161198098,France
France,2007,32.4,29.7,29.8,137.2772361,3.145979067,2.361498873,2.563906343,France
France,2008,33,32.4,29.7,142.9900043,2.325978916,0.195294766,2.379119109,France
France,2009,NA,33,32.4,140.3819049,0.682307836,-2.941341055,0.096624424,France
France,2010,33.7,NA,33,143.6183782,1.469675805,1.965657375,1.079825499,France
France,2011,33.3,33.7,NA,145.8143219,1.54371916,2.079229175,0.943611724,France
France,2012,33,33.3,33.7,147.80637,1.228845226,0.182693034,1.157648915,France
France,2013,32.5,33,33.3,143.9449882,1.124768867,0.576241547,0.776636468,France
France,2014,32.3,32.5,33,146.9209246,0.20389463,0.947586471,0.576458624,France
Germany,2005,NA,NA,NA,132.5983763,2.091827252,0.706713948,0.620694358,Germany
Germany,2006,31.8,NA,NA,127.3617048,2.912349683,3.700159572,0.304045355,Germany
Germany,2007,31.9,31.8,NA,120.4801391,1.478073761,3.260535297,1.697387271,Germany
Germany,2008,31.1,31.9,31.8,122.2828234,0.824174902,1.082315404,0.838791683,Germany
Germany,2009,31.2,31.1,31.9,128.4509893,1.657945651,-5.618860435,1.7569942,Germany
Germany,2010,30.7,31.2,31.1,164.7975628,2.518329046,4.079933305,0.757704408,Germany
Germany,2011,30,30.7,31.2,161.9667643,2.594160673,3.660000155,1.070476908,Germany
Germany,2012,NA,30,30.7,156.9249454,1.847194475,0.491992829,1.540294079,Germany
Germany,2013,31.4,NA,30,136.8863225,1.796331306,0.489584482,1.965390517,Germany
Germany,2014,NA,31.4,NA,139.7539617,0.429785534,1.92969041,1.794387609,Germany
Italy,2005,33.8,NA,NA,104.719695,1.985132053,0.949666258,1.888233449,Italy
Italy,2006,34,33.8,NA,108.6178813,2.932354168,2.006586655,1.898849869,Italy
Italy,2007,32.9,34,33.8,124.8199187,2.995266538,1.473868547,2.434610726,Italy
Italy,2008,33.6,32.9,34,137.6132647,-0.397381532,-1.050402835,2.480577356,Italy
Italy,2009,33.5,33.6,32.9,146.2889405,0.758499235,-5.48205504,1.957826338,Italy
Italy,2010,34.3,33.5,33.6,160.4578207,0.467633055,1.686523403,0.319446203,Italy
Italy,2011,34.5,34.3,33.5,164.1204818,1.513143765,0.576623022,1.468390873,Italy
Italy,2012,34.9,34.5,34.3,177.3916251,0.001679455,-2.819013779,1.38015264,Italy
Italy,2013,34.9,34.9,34.5,172.7144805,0.916716928,-1.728160802,1.211939756,Italy
Italy,2014,34.7,34.9,34.9,172.1090262,0.79136233,0.113673238,0.958906794,Italy
Netherlands,2005,29,NA,NA,166.2124342,30.94628867,2.160366002,1.933833773,Netherlands
Netherlands,2006,30,29,NA,165.7405233,51.62545892,3.518636961,2.550428742,Netherlands
Netherlands,2007,29.6,30,29,184.2075398,87.44259299,3.698473106,2.105441908,Netherlands
Netherlands,2008,29.3,29.6,30,182.2923104,20.84878253,1.699060778,2.479236822,Netherlands
Netherlands,2009,27.9,29.3,29.6,207.2319202,11.18168466,-3.767583537,0.399621508,Netherlands
Netherlands,2010,27.9,27.9,29.3,218.2675864,13.836826,1.402662177,0.847969184,Netherlands
Netherlands,2011,27.8,27.9,27.9,223.9798618,37.12847622,1.663626344,0.141896333,Netherlands
Netherlands,2012,27.6,27.8,27.9,234.1734815,28.92283586,-1.057037404,1.419671674,Netherlands
Netherlands,2013,28.1,27.6,27.8,209.3489371,37.9244573,-0.1903392,1.368458976,Netherlands
Netherlands,2014,28.6,28.1,27.6,218.3480441,13.3674634,1.419690296,0.149996599,Netherlands
Spain,2005,32.4,NA,NA,155.5680091,2.308899543,3.723001788,4.149491286,Spain
Spain,2006,32.5,32.4,NA,178.9600724,2.608815937,4.174123186,3.978200117,Spain
Spain,2007,33.1,32.5,32.4,199.8175437,4.986868503,3.768992408,3.331139602,Spain
Spain,2008,34.2,33.1,32.5,223.1541132,4.865873989,1.11768686,2.135441392,Spain
Spain,2009,34.9,34.2,33.1,233.8338653,0.899122315,-3.573751449,0.252533821,Spain
Spain,2010,35.3,34.9,34.2,240.9906239,2.865295766,0.014063878,0.16041859,Spain
Spain,2011,35.7,35.3,34.9,248.9311495,2.135799937,-0.998764958,0.028968199,Spain
Spain,2012,35.4,35.7,35.3,245.5703178,1.864880658,-2.927750507,0.067950146,Spain
Spain,2013,36.2,35.4,35.7,223.6041389,3.839448478,-1.705705,0.353610345,Spain
Spain,2014,36,36.2,35.4,211.2478079,2.533915532,1.379997238,-0.19498388,Spain
Austria,2005,28.7,NA,NA,125.9797155,25.72610677,2.140682603,2.64157882,Austria
