Country,Code,Time,Credit_GDP,GDP_growth,Low20,Low20t-1,Low20t-2,High20,High20t-1,High20t-2,Inflation,FDI_GDP,UMP
France,FRA,2006,126.667771,2.3749469,8.4,8.6,8.4,38.3,38.5,39.2,2.161198098,3.395496784,0
France,FRA,2007,137.2772361,2.361498873,8.1,8.4,8.6,40.9,38.3,38.5,2.563906343,3.145979067,0
France,FRA,2008,142.9900043,0.195294766,7.9,8.1,8.4,41.2,40.9,38.3,2.379119109,2.325978916,0
France,FRA,2009,140.3819049,-2.941341055,..,7.9,8.1,..,41.2,40.9,0.096624424,0.682307836,0
France,FRA,2010,143.6183782,1.965657375,7.7,..,7.9,41.8,..,41.2,1.079825499,1.469675805,1
France,FRA,2011,145.8143219,2.079229175,7.8,7.7,..,41.4,41.8,..,0.943611724,1.54371916,1
France,FRA,2012,147.80637,0.182693034,7.9,7.8,7.7,41.2,41.4,41.8,1.157648915,1.228845226,1
France,FRA,2013,143.9449882,0.576241547,8,7.9,7.8,40.9,41.2,41.4,0.776636468,1.124768867,1
France,FRA,2014,146.9209246,0.947586471,8,8,7.9,40.5,40.9,41.2,0.576458624,0.20389463,1
Germany,DEU,2006,127.3617048,3.700159572,8.1,..,..,40,..,..,0.304045355,2.912349683,0
Germany,DEU,2007,120.4801391,3.260535297,8.1,8.1,..,40.2,40,..,1.697387271,1.478073761,0
Germany,DEU,2008,122.2828234,1.082315404,8.2,8.1,8.1,39.5,40.2,40,0.838791683,0.824174902,0
Germany,DEU,2009,128.4509893,-5.618860435,8.3,8.2,8.1,39.8,39.5,40.2,1.7569942,1.657945651,0
Germany,DEU,2010,164.7975628,4.079933305,8.3,8.3,8.2,39.2,39.8,39.5,0.757704408,2.518329046,1
Germany,DEU,2011,161.9667643,3.660000155,8.4,8.3,8.3,38.6,39.2,39.8,1.070476908,2.594160673,1
Germany,DEU,2012,156.9249454,0.491992829,..,8.4,8.3,..,38.6,39.2,1.540294079,1.847194475,1
Germany,DEU,2013,136.8863225,0.489584482,8.1,..,8.4,39.8,..,38.6,1.965390517,1.796331306,1
Germany,DEU,2014,139.7539617,1.92969041,..,8.1,..,..,39.8,..,1.794387609,0.429785534,1
Italy,ITA,2006,108.6178813,2.006586655,6.8,6.8,6.8,41,40.7,41.3,1.898849869,2.932354168,0
